,contributor,type,confidence,events,NA,NT,NOR,ORR,DCA_mean,DCA_median,DCA_std,DCA_gini,NAR_mean,NAR_median,NAR_gini,NAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NCAR_mean,NCAR_std,NCAR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR
10,skedwards88,Human,0.857,200,182,10,2,0.2,5.487,0.119,17.704,0.89,18.2,3.0,0.773,4.75,2.9,1.5,2.961,0.459,6.741,10.676,8.5,21.684,0.027,39.658,34.495,15.68,0.969,37.713,0.843,5.458,7.594,0.023,24.211,0.909,0.565,18.2,13.0,29.272,0.616,15.75
11,jhoyt4,Human,0.929,66,65,8,5,0.556,26.139,0.083,104.257,0.936,7.222,7.0,0.393,5.0,2.0,2.0,1.118,0.284,1.413,0.933,0.0,0.498,0.0,2.034,0.0,36.666,0.099,123.197,0.916,1.019,36.708,0.098,124.548,0.918,3.167,8.125,3.0,10.869,0.594,7.5
12,benaadams,Human,0.914,100,84,9,3,0.75,2.232,0.224,5.667,0.823,21.0,7.5,0.613,20.5,4.0,3.5,2.944,0.344,6.0,9.923,2.75,8.564,0.016,18.667,3.584,5.028,0.398,10.932,0.795,5.032,2.133,0.244,5.809,0.826,0.984,9.333,7.0,5.831,0.331,8.0
13,StingyJack,Unknown,-,1,1,1,1,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,1.0,1.0,0.0,0.0,0.0
14,omBratteng,Human,0.944,100,83,10,5,0.714,2.059,0.127,4.821,0.832,11.857,6.0,0.589,13.0,3.429,3.0,2.573,0.369,2.964,3.491,2.0,2.272,0.011,6.211,0.886,3.897,0.377,6.731,0.752,3.197,1.783,0.086,4.348,0.845,0.714,8.3,7.0,6.325,0.377,5.0
15,edmangimelli,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,calcmogul,Human,0.897,100,90,10,4,0.267,0.925,0.065,3.149,0.876,6.0,3.0,0.561,6.5,2.067,1.0,1.335,0.323,2.195,1.585,2.0,0.635,0.0,3.099,0.149,1.406,0.172,3.577,0.821,0.949,1.378,0.08,4.011,0.869,0.535,9.0,5.0,13.333,0.56,5.0
17,ISauve,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,jaycdave88,Unknown,-,6,6,3,1,0.5,123.433,0.011,275.875,0.8,3.0,3.0,0.167,1.0,2.5,2.5,0.707,0.1,3.0,1.414,1.0,0.116,0.116,0.163,0.116,616.934,616.934,0.0,0.0,0.0,154.238,0.008,308.464,0.75,154.238,2.0,2.0,0.0,0.0,0.0
19,emerali,Unknown,-,3,3,2,3,1.0,914.136,914.136,203.817,0.079,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,914.136,914.136,203.817,0.079,144.12,770.016,770.016,0.0,0.0,0.0,1.5,1.5,0.707,0.167,0.5
20,chmst,Human,0.95,100,97,11,3,0.6,12.491,0.396,24.888,0.794,19.4,4.0,0.553,44.0,3.0,3.0,2.121,0.347,3.031,3.085,3.0,18.02,0.01,45.586,14.991,20.081,2.567,27.87,0.679,34.043,14.073,0.958,25.231,0.753,15.504,8.818,5.0,7.427,0.429,9.5
21,weavejester,Human,0.95,100,90,12,4,0.444,13.914,0.18,43.39,0.867,10.0,5.0,0.516,9.0,3.111,2.0,3.219,0.444,3.333,3.772,3.0,16.711,0.628,53.084,11.32,30.275,7.621,55.998,0.706,36.244,18.001,0.327,51.995,0.865,6.38,7.5,4.5,7.453,0.507,12.0
22,martinfleis,Human,0.937,100,78,10,7,0.5,1.548,0.052,3.921,0.853,5.571,3.0,0.571,4.25,3.0,2.0,2.449,0.384,2.167,1.715,1.0,0.441,0.001,1.445,0.097,2.951,0.577,5.343,0.76,1.784,1.521,0.039,3.967,0.864,0.598,7.8,8.0,5.453,0.372,8.75
23,jeremybarbet,Human,0.948,56,54,12,5,0.455,29.399,0.204,71.352,0.86,4.909,3.0,0.512,2.5,2.091,2.0,1.3,0.308,1.862,1.827,1.0,4.177,0.0,17.902,0.006,51.322,2.104,91.761,0.771,40.565,39.338,0.356,81.883,0.819,17.274,4.5,2.0,7.868,0.602,3.25
24,ednow,Human,0.934,17,17,6,9,0.818,55.015,3.296,104.261,0.779,1.545,1.0,0.246,1.0,1.364,1.0,0.674,0.206,1.417,0.669,1.0,0.115,0.0,0.299,0.002,79.896,19.211,118.854,0.682,114.929,32.285,1.715,72.339,0.799,21.15,2.833,1.5,2.787,0.441,2.5
25,roycaihw,Human,0.763,69,53,6,2,1.0,38.775,0.082,91.438,0.853,26.5,26.5,0.255,13.5,4.5,4.5,2.121,0.167,7.571,7.044,7.0,242.953,25.036,376.724,297.306,52.602,27.429,59.948,0.548,85.523,58.012,0.116,105.095,0.776,43.853,8.833,9.0,7.25,0.418,12.0
26,strager,Human,0.952,58,51,9,14,0.933,40.671,1.414,97.171,0.823,3.4,1.0,0.627,0.0,1.467,1.0,1.302,0.279,2.429,4.007,1.0,12.957,0.0,40.089,0.014,88.074,36.612,139.211,0.683,89.099,74.613,5.716,134.162,0.749,81.558,5.667,3.0,7.697,0.566,4.0
27,maedana,Human,0.816,100,85,6,11,1.0,4.556,0.05,14.676,0.914,7.727,3.0,0.588,8.0,1.909,2.0,0.701,0.182,4.048,5.67,3.0,3.747,0.021,11.816,0.201,15.202,0.204,25.179,0.743,23.199,15.417,0.132,25.321,0.742,23.926,14.167,2.5,27.044,0.72,6.75
28,dackmin,Human,0.834,100,90,9,1,0.2,7.752,0.025,30.028,0.907,18.0,2.0,0.649,18.0,3.8,2.0,3.421,0.421,9.0,13.458,7.25,47.557,0.071,118.225,6.503,23.822,7.507,36.623,0.674,26.693,8.094,0.02,33.526,0.923,0.154,10.0,7.0,10.186,0.447,6.0
29,pellared,Human,0.945,100,81,12,7,0.583,1.925,0.027,6.331,0.894,6.75,3.0,0.503,6.0,2.25,1.5,1.603,0.355,1.929,1.472,1.0,1.215,0.0,6.804,0.03,2.511,0.101,7.325,0.861,1.144,1.749,0.034,4.937,0.869,0.4,6.75,4.0,7.545,0.548,8.25
30,PRMerger16,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,cristianmtr,Human,0.886,14,14,3,5,1.0,101.274,6.044,280.072,0.845,2.8,1.0,0.514,0.0,1.0,1.0,0.0,0.0,2.8,4.025,0.0,33.097,0.0,74.007,0.0,287.771,62.357,494.154,0.685,312.555,375.354,99.696,565.913,0.608,513.095,4.667,2.0,5.508,0.476,5.0
32,matthewdeng,Human,0.944,100,73,9,3,1.0,23.764,0.596,57.476,0.832,24.333,17.0,0.493,27.0,3.333,3.0,2.517,0.333,3.318,4.005,2.5,50.229,0.015,87.115,61.134,28.857,0.202,81.972,0.847,18.776,29.25,4.546,64.178,0.769,41.684,8.111,6.0,9.32,0.508,8.0
33,jgerigmeyer,Human,0.947,100,79,14,4,0.211,2.7,0.031,9.566,0.918,4.158,1.0,0.601,2.5,2.474,1.0,2.756,0.468,2.548,3.223,1.5,0.439,0.0,1.433,0.032,6.566,0.098,14.692,0.831,2.4,3.218,0.053,10.413,0.906,0.27,5.643,3.5,4.798,0.415,5.5
34,jperk51,Bot,0.393,129,120,5,1,0.333,17.159,0.934,32.541,0.79,40.0,20.0,0.544,49.0,2.333,2.0,1.528,0.286,3.636,4.219,3.0,34.038,0.008,74.546,21.422,28.708,21.204,37.102,0.628,27.479,24.465,3.256,35.928,0.697,23.715,24.0,18.0,19.17,0.363,7.0
35,Jason3S,Human,0.818,300,214,10,2,0.143,0.771,0.007,3.362,0.922,15.286,4.5,0.658,2.0,3.214,2.0,2.424,0.3,3.292,3.534,2.0,0.709,0.001,2.056,0.053,1.845,0.067,5.807,0.884,0.419,0.79,0.007,3.499,0.928,0.09,21.4,7.5,32.063,0.641,10.75
36,jasongrout,Human,0.933,34,31,9,6,0.857,54.794,20.883,68.33,0.639,4.429,2.0,0.553,1.5,2.429,1.0,2.699,0.454,2.583,2.466,1.5,80.999,0.094,162.373,53.772,61.076,32.529,71.207,0.597,105.749,54.944,20.883,70.463,0.649,119.668,3.444,3.0,1.878,0.244,2.0
37,targos,Human,0.915,100,82,11,5,0.357,1.21,0.034,3.644,0.877,5.857,5.5,0.42,3.75,3.929,4.5,1.979,0.271,3.28,2.67,3.0,1.413,0.031,3.824,0.529,2.612,0.577,5.19,0.744,1.977,1.354,0.036,3.844,0.866,0.566,7.455,6.0,4.367,0.302,5.0
38,franklsf95,Human,0.961,53,43,10,5,0.625,49.127,0.978,160.975,0.856,5.375,2.0,0.561,5.25,2.5,1.0,2.507,0.438,2.389,2.227,1.75,12.115,0.006,20.302,22.033,108.546,18.261,244.443,0.777,84.577,67.583,7.851,191.623,0.834,44.682,4.3,3.0,3.802,0.43,2.75
39,ashie,Human,0.937,100,82,10,3,0.429,6.178,0.094,23.385,0.916,11.714,5.0,0.582,3.5,3.857,3.0,2.911,0.339,4.556,3.485,4.5,11.982,0.099,28.012,15.496,16.751,0.977,41.424,0.842,2.983,8.101,0.211,27.148,0.901,1.255,8.2,9.0,4.756,0.305,4.5
40,ged-odoo,Human,0.948,100,89,10,3,0.5,5.992,0.386,17.833,0.842,14.833,7.0,0.489,10.25,3.0,2.0,3.033,0.426,5.933,8.388,4.0,13.59,1.287,23.009,13.2,23.1,10.609,38.772,0.658,16.47,12.485,0.551,29.301,0.798,12.565,8.9,2.5,19.83,0.727,2.75
41,jean-edouard,Invalid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,TheBusyBiscuit,Human,0.953,40,30,8,7,0.778,45.662,0.121,124.184,0.867,3.333,1.0,0.593,0.0,1.667,1.0,1.323,0.311,2.727,3.379,2.0,57.407,0.0,190.225,0.053,69.271,19.518,146.271,0.732,42.654,46.428,0.097,134.15,0.877,16.178,3.75,3.0,3.151,0.417,4.25
43,gabrieldonadel,Human,0.755,100,80,7,2,0.667,2.513,0.184,8.768,0.881,26.667,4.0,0.617,37.0,3.333,2.0,3.215,0.4,11.429,13.176,18.0,22.573,10.099,34.676,25.209,6.751,1.761,9.068,0.617,13.47,3.792,0.209,11.313,0.867,0.787,11.429,6.0,14.034,0.543,9.0
44,arkpar,Human,0.946,13,12,8,4,0.667,198.966,48.086,306.989,0.7,2.0,1.5,0.333,1.0,1.5,1.0,0.837,0.241,1.2,0.422,0.0,16.851,0.0,45.141,0.0,224.457,48.086,336.02,0.692,296.482,216.345,71.881,317.84,0.681,257.965,1.5,1.0,0.756,0.229,1.0
45,BryanApellanes,Bot,0.127,110,109,5,1,0.04,16.615,0.014,108.124,0.962,4.36,2.0,0.517,1.0,1.28,1.0,0.843,0.195,1.101,0.721,0.0,0.486,0.0,4.534,0.0,17.819,0.013,113.409,0.963,0.075,5.163,0.049,11.525,0.827,0.179,21.8,1.0,44.852,0.752,3.0
46,awvwgk,Human,0.93,100,81,12,14,0.667,4.382,0.055,10.38,0.842,3.857,1.0,0.547,3.0,1.667,1.0,1.461,0.335,1.884,1.434,1.5,0.052,0.0,0.147,0.022,8.294,1.957,13.213,0.717,11.639,5.751,0.69,10.866,0.774,5.205,6.75,5.5,6.196,0.466,7.5
47,cspotcode,Human,0.938,100,98,10,25,0.676,20.781,0.738,43.762,0.806,2.649,2.0,0.427,2.0,1.595,1.0,0.865,0.26,1.849,1.433,1.0,9.313,0.0,37.056,0.592,29.272,5.72,45.879,0.717,39.733,23.265,1.218,44.816,0.77,25.292,9.8,5.0,10.042,0.48,7.0
48,blackfalcon,Bot,0.894,100,100,6,1,0.043,0.513,0.001,2.523,0.95,4.348,4.0,0.143,0.0,3.913,4.0,0.733,0.062,3.704,1.103,0.0,0.002,0.002,0.001,0.001,1.952,0.077,4.695,0.84,1.24,0.524,0.001,2.548,0.949,0.001,16.667,23.5,11.793,0.32,16.75
49,hrmacbeth,Human,0.918,100,91,8,3,1.0,2.326,0.198,6.731,0.848,30.333,2.0,0.637,43.5,3.0,2.0,2.646,0.37,13.0,19.192,21.5,22.537,0.0,28.679,48.329,8.596,3.626,14.337,0.661,4.809,1.771,0.196,5.352,0.831,1.046,11.375,7.0,17.614,0.606,7.0
50,Azrenbeth,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,jzombie,Human,0.858,200,157,8,2,0.5,2.903,0.054,12.359,0.931,39.25,13.5,0.619,35.75,2.5,1.0,3.0,0.45,3.489,4.635,3.0,2.086,0.0,5.616,0.516,8.159,0.143,21.897,0.874,0.657,2.263,0.045,8.727,0.922,0.202,19.625,8.0,29.35,0.617,9.25
52,RomanPudashkin,Human,0.933,100,65,9,4,1.0,5.254,0.048,13.038,0.846,16.25,3.5,0.65,14.75,2.75,2.0,2.363,0.386,3.824,7.325,0.0,16.427,0.0,39.183,0.0,3.564,0.539,6.04,0.737,3.747,7.182,0.312,15.187,0.801,4.013,7.222,5.0,7.311,0.499,8.0
53,hicqu,Human,0.935,100,92,10,4,0.5,8.938,0.28,36.413,0.912,11.5,6.0,0.549,11.75,3.0,2.5,1.852,0.292,1.508,0.829,1.0,8.441,0.0,42.412,0.107,4.974,0.278,14.931,0.862,2.25,11.625,0.241,41.527,0.898,2.869,9.2,5.0,7.714,0.415,9.25
54,malinthar,Unknown,-,1,1,1,1,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,1.0,1.0,0.0,0.0,0.0
55,GoogleBot42,Unknown,-,1,1,1,1,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,1.0,1.0,0.0,0.0,0.0
56,estermv,Unknown,-,3,3,3,1,1.0,0.199,0.199,0.281,0.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.398,0.398,0.0,0.0,,,0.0,0.0,,0.199,0.199,0.281,0.0,0.199,1.0,1.0,0.0,0.0,0.0
57,dmitrygx,Unknown,-,1,1,1,1,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,1.0,1.0,0.0,0.0,0.0
58,WorldLanguages,Human,0.923,100,80,10,2,0.667,7.252,0.025,22.795,0.896,26.667,3.0,0.625,37.5,4.0,2.0,4.359,0.444,11.429,11.473,14.5,69.965,15.049,128.14,60.668,13.858,0.033,31.259,0.81,4.175,7.73,0.027,24.406,0.899,0.076,8.0,8.0,5.333,0.355,8.25
59,martin-badin,Unknown,-,1,1,1,1,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,1.0,1.0,0.0,0.0,0.0
60,tvoran,Human,0.768,100,74,9,2,0.222,2.865,0.024,8.646,0.887,8.222,6.0,0.465,7.0,3.556,3.0,1.944,0.257,3.7,3.715,2.25,6.709,0.005,25.524,0.068,3.944,0.916,7.773,0.772,2.553,2.118,0.02,5.524,0.874,0.173,8.222,12.0,6.648,0.411,10.0
61,KeithWoods,Bot,0.085,40,40,3,1,0.333,36.843,3.603,68.572,0.768,13.333,2.0,0.6,18.0,1.333,1.0,0.577,0.167,6.667,8.066,11.75,208.05,61.624,296.067,334.212,37.714,22.666,49.653,0.606,46.043,36.495,11.366,58.787,0.672,47.744,13.333,1.0,21.362,0.617,18.5
62,MiguelWeezardo,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,MSurfer20,Unknown,-,7,7,1,1,1.0,0.403,0.063,0.832,0.723,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,2.419,2.419,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,7.0,7.0,0.0,0.0,0.0
64,tesuji,Human,0.939,100,95,13,11,0.458,16.532,0.415,46.183,0.86,3.958,3.0,0.393,3.5,2.042,2.0,1.083,0.281,1.61,1.3,1.0,2.13,0.0,7.629,0.017,24.627,0.943,57.013,0.821,22.338,18.648,0.481,53.197,0.875,5.495,7.308,4.0,11.146,0.572,5.0
65,felipecrs,Human,0.943,100,88,12,21,0.778,2.552,0.104,8.05,0.863,3.259,1.0,0.513,4.0,1.889,1.0,1.649,0.365,1.725,1.779,1.0,0.147,0.0,0.487,0.017,4.292,0.327,10.312,0.799,3.043,2.648,0.066,8.398,0.86,1.418,7.333,5.5,5.565,0.4,8.75
66,keyki,Unknown,-,6,5,3,1,1.0,0.711,0.007,1.413,0.746,5.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,0.0,2.845,2.845,0.0,0.0,,,0.0,0.0,,0.945,0.003,1.633,0.665,1.414,1.667,1.0,1.155,0.267,1.0
67,codebude,Human,0.653,11,10,4,2,0.5,227.239,27.332,551.182,0.81,2.5,2.0,0.35,2.5,1.25,1.0,0.5,0.15,1.429,0.535,1.0,35.215,0.0,63.925,42.737,299.774,23.006,681.581,0.801,48.451,235.515,23.006,588.64,0.826,67.548,2.5,3.0,1.0,0.15,0.5
68,engcom-Echo,Human,0.323,14,14,2,5,1.0,3.843,0.392,6.922,0.761,2.8,1.0,0.486,1.0,1.0,1.0,0.0,0.0,1.4,0.966,0.0,2.647,0.0,7.737,0.0,2.61,0.004,6.877,0.848,0.957,2.61,0.004,6.877,0.848,0.957,7.0,7.0,2.828,0.143,2.0
69,hpwamr,Human,0.761,100,85,6,2,1.0,11.267,0.038,35.84,0.88,42.5,42.5,0.006,0.5,3.5,3.5,3.536,0.357,2.125,0.939,1.0,11.822,0.002,60.238,0.332,12.142,0.038,32.476,0.869,3.447,10.414,0.042,29.487,0.883,0.487,14.167,10.0,16.425,0.516,9.5
70,wamserma,Unknown,-,6,6,4,3,0.6,362.526,301.339,321.802,0.434,1.2,1.0,0.133,0.0,1.0,1.0,0.0,0.0,1.2,0.447,0.0,0.003,0.0,0.006,0.0,453.154,496.997,288.65,0.292,437.406,503.758,692.654,331.079,0.254,287.841,1.5,1.5,0.577,0.167,1.0
71,emcastillo,Human,0.935,44,34,8,7,0.875,40.792,0.232,85.854,0.827,4.25,3.0,0.449,5.5,1.375,1.0,0.518,0.17,1.259,0.594,0.0,2.969,0.0,14.648,0.0,48.691,0.272,94.514,0.804,36.823,54.615,1.665,87.143,0.734,69.573,4.25,1.0,6.018,0.588,3.0
72,brettfo,Human,0.945,100,87,11,3,0.5,2.851,0.104,12.723,0.903,14.5,3.5,0.695,7.0,3.5,3.0,2.95,0.389,7.909,9.596,6.5,20.193,0.651,51.232,1.968,2.307,0.167,5.987,0.829,0.833,4.303,0.149,15.77,0.881,1.108,7.909,5.0,9.782,0.497,6.0
73,sowmyav27,Human,0.758,100,94,6,3,0.5,15.496,0.239,71.084,0.926,15.667,6.5,0.635,14.5,2.0,2.0,0.894,0.222,4.7,6.284,5.0,46.446,1.091,165.097,19.658,26.959,0.186,54.193,0.811,8.023,14.68,0.257,36.747,0.855,5.179,15.667,5.0,25.843,0.631,5.25
74,estolfo,Human,0.895,44,39,7,3,0.231,44.983,1.724,112.757,0.833,3.0,3.0,0.276,2.0,1.538,1.0,0.66,0.208,1.696,1.105,1.0,3.319,0.0,10.562,0.119,74.229,20.038,142.019,0.752,62.707,46.294,10.447,77.525,0.734,42.256,5.571,5.0,5.094,0.454,6.0
75,sp00m,Unknown,-,3,3,3,3,1.0,582.88,582.88,585.548,0.355,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,582.88,582.88,585.548,0.355,414.045,582.88,582.88,585.548,0.355,414.045,1.0,1.0,0.0,0.0,0.0
76,ssanadhya,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77,geofjamg,Human,0.9,100,87,9,2,0.5,5.931,0.118,18.802,0.894,21.75,8.0,0.612,25.75,4.5,4.0,3.697,0.389,6.214,8.201,2.75,16.101,0.495,35.931,1.455,21.899,0.982,37.637,0.74,22.356,6.124,0.117,19.839,0.899,0.919,9.667,8.0,9.618,0.404,2.0
78,yctercero,Human,0.918,100,82,11,2,0.667,7.11,0.265,16.77,0.834,27.333,20.0,0.455,28.0,4.667,3.0,2.887,0.238,3.28,5.69,2.0,11.128,0.219,22.066,12.868,12.406,2.24,20.387,0.729,15.616,9.776,0.848,17.04,0.752,11.732,7.455,2.0,10.643,0.601,5.5
79,eeyun,Unknown,-,1,1,1,1,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,1.0,1.0,0.0,0.0,0.0
80,vyasr,Human,0.844,100,78,9,3,0.333,0.383,0.052,1.991,0.863,8.667,5.0,0.553,5.0,2.333,2.0,1.871,0.339,2.516,2.706,2.0,0.752,0.0,3.583,0.126,0.206,0.079,0.389,0.683,0.099,0.534,0.066,2.488,0.877,0.087,8.667,7.0,9.394,0.501,9.0
81,cqliu1,Human,0.937,100,84,8,3,1.0,6.954,0.272,22.18,0.881,28.0,21.0,0.484,30.5,3.0,3.0,2.0,0.296,2.71,2.532,2.5,10.283,0.023,24.769,9.647,8.614,0.12,28.743,0.91,0.511,8.917,0.152,27.26,0.889,1.189,10.5,2.0,20.248,0.72,4.5
82,brozeph,Unknown,-,7,7,3,1,1.0,7.491,0.247,11.581,0.619,7.0,7.0,0.0,0.0,3.0,3.0,0.0,0.0,7.0,0.0,0.0,44.948,44.948,0.0,0.0,,,0.0,0.0,,9.436,9.436,13.345,0.0,9.436,2.333,1.0,2.309,0.381,2.0
83,alexfrancoeur,Human,0.911,100,85,10,2,0.667,21.989,0.051,62.763,0.893,28.333,4.0,0.62,39.5,5.0,4.0,4.583,0.4,17.0,23.843,7.0,343.748,23.847,631.085,236.195,32.093,2.385,60.805,0.72,31.498,30.683,0.096,72.61,0.851,20.522,8.5,7.5,6.485,0.371,4.75
84,KevinLaMS,Human,0.82,26,26,6,2,0.4,62.479,0.657,106.245,0.757,5.2,3.0,0.508,5.0,2.2,2.0,1.304,0.291,3.25,4.432,2.0,29.308,0.058,81.292,1.067,189.645,152.848,115.952,0.306,151.838,114.4,76.273,126.89,0.567,157.937,4.333,2.0,6.25,0.551,1.5
85,caylahamann,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
86,mdtauk,Human,0.92,100,82,8,4,0.571,19.344,0.714,47.212,0.846,11.714,4.0,0.571,18.5,2.286,2.0,1.113,0.25,3.154,3.158,2.75,20.575,0.438,50.507,8.811,41.277,7.494,63.71,0.712,40.601,39.231,2.67,66.509,0.749,36.882,10.25,3.5,14.568,0.628,11.75
