actor_id,clean_login,data_label
86369174,msft-bot-github,Bot
29491781,Kanin,Human
43080478,aws-cdk-automation,Bot
24424871,Tronald,Human
79050917,deepthi1107,Human
52870424,TheCatLady,Human
15893131,sourcegraph-bot,Bot
13532591,bryphe,Human
33099090,mark-a-potts,Human
578310,racerxdl,Human
1497628,qchateau,Human
10933561,nwtgck,Human
50728904,Hamsik2rang,Human
80542304,asyncfinkd,Human
18283033,jopemachine,Human
4398246,pentschev,Human
43352940,adamviola,Human
52198440,mlbridge[bot],Bot
620768,soulmachine,Human
18592035,aurimas13,Human
33018532,Otoliths,Human
35190819,singuliere,Human
158150,garethjevans,Human
509220,meziantou,Human
4807083,BendingBender,Human
461711,j5ik2o,Human
11812946,Sulstice,Human
43691873,kaustubhgupta,Human
41809,rurban,Human
13213802,vinkobedek,Human
465279,kraj,Human
94144367,kibana-ci,Bot
55352601,arpit456jain,Human
31474567,persunde,Human
4170616,cmsbuild,Bot
43030857,ringabout,Human
6868147,lucasfcosta,Human
22237570,linjinbao66,Human
3077884,omgitsbillryan,Human
61076533,changelogg[bot],Bot
996983,revk,Human
49736102,kodiakhq[bot],Bot
1765418,lukwam,Human
63198135,performance-testing-bot[bot],Bot
25566498,hongshui3000,Human
83668334,BuggieBot,Bot
47618415,SKEIDs,Human
4289625,hachi8833,Human
24176136,hampuskraft,Human
872612,makotom,Human
5420529,gadenbuie,Human
152281,luksan,Human
62626583,Lazytangent,Human
526307,endorama,Human
12268675,zhuwenxing,Human
57364268,ccss-bot,Bot
10550807,tblattner,Human
9095191,etiennepellegrini,Human
8732845,taylordowns2000,Human
43480880,linux-foundation-easycla[bot],Bot
59577,sobotka,Human
58536023,HAFDIAHMED,Human
1690993,randy3k,Human
51449285,jahman07104,Human
84385465,BajajAditya123,Human
1763949,enrichman,Human
18440794,aih8,Human
3490170,Hank076,Human
23524935,Divkix,Human
75331162,jonyg80,Human
37854986,opbld30,Bot
4923335,aqrln,Human
71041607,drewkeat,Human
31466760,why2lyj,Human
34622776,Ariszy,Human
227713,atian25,Human
73383951,jobbautista9,Human
71036629,ryanfortner,Human
8851122,mtaylorsherwood,Human
37855015,opbld31,Bot
31853855,gamekingv,Human
9217533,Tommos0,Human
60452960,vituperative,Human
37626415,skia-flutter-autoroll,Bot
29136904,ChristianChiarulli,Human
273266,mildlygeeky,Human
77021077,adnhung,Bot
56601352,xHyroM,Human
79088220,viezly[bot],Bot
992878,signalwerk,Human
20963210,VSC-Service-Account,Bot
52199148,paritytech-ci,Bot
22308288,acrolinxatmsft1,Human
3895341,iwyang,Bot
26586327,atatkin,Bot
7299249,doddgu,Human
72009413,aureliancnx,Human
31047340,LibbyBot,Bot
2544838,snoopycrimecop,Human
31677740,ltccci,Bot
60386806,leanprover-community-bot,Bot
775050,larsbrinkhoff,Human
4681584,aberkow,Human
2182307,jpuri,Human
57463719,dotnet-eng-status[bot],Bot
41968677,kubermatic-bot,Bot
53064849,probot-home-assistant[bot],Bot
74184545,dpuenteramirez,Human
1551911,zhaodylan,Human
42293979,gammasoft71,Human
8606919,David-A-James,Human
2005841,sibelius,Human
17727163,omametech,Human
6032561,mmorel-35,Human
21219146,ZhimaoL,Human
20937011,m6ram,Human
62436772,ganning127,Human
42748379,dotnet-maestro[bot],Bot
348496,javadev,Human
6481596,sxzz,Human
2606959,yiwu-arbug,Human
3027310,alanfx,Human
9423774,RPicster,Human
2960492,klord9x,Human
46681084,twaclaw,Human
36771401,azure-pipelines[bot],Bot
31901150,smockle-bot,Bot
79102,jacopen,Human
16718781,id-jenkins,Bot
46564150,gitpod-io[bot],Bot
24581081,drewroberts,Human
7117978,ttodua,Human
13301940,andersy005,Human
40892567,graciemcguire,Human
75001577,TechiError,Human
17950965,littleflute,Human
25311884,istio-testing,Bot
47790158,mui-pr-bot,Bot
63493438,semgrep-app[bot],Bot
39779558,gatsbot[bot],Bot
500,JJ,Human
6727250,cbuijs,Human
20389726,MatiasMingo,Human
6537332,jerome-benoit,Human
565661,jerelmiller,Human
27112484,yxiao1996,Human
12696650,kongwilson,Human
3974108,seisman,Human
53064568,smhenderson89,Human
3190488,RekGRpth,Human
37334640,En3Tho,Human
60662775,Amit366,Human
37855124,opbld33,Bot
2354108,coveralls,Bot
6771947,epenet,Human
12948692,aminvakil,Human
46231,lpenz,Human
432127,r15ch13,Human
144884,tpmanley,Human
34349915,frannietrempe,Human
8349537,squahtx,Human
39011611,anguaive,Human
4980711,mahabub81,Human
36490558,regro-cf-autotick-bot,Bot
5635476,TrySound,Human
5668787,RaigorJiang,Human
54081388,codesandbox-ci[bot],Bot
5633066,timothytrippel,Human
3222928,cjx2328,Human
76961798,pt-hq,Bot
16214023,markvanlan,Human
49693820,naveen521kk,Human
1265995,ajoslin,Human
33906690,sesheta,Bot
30606887,welcome[bot],Bot
18677354,07akioni,Human
119164,brandonbloom,Human
26440463,google-oss-bot,Bot
1512021,rschamp,Human
89770411,merge-fee-bot[bot],Bot
55310213,jupitersh,Human
5209952,bryangingechen,Human
49127376,IgorKowalczyk,Human
4198115,dargueso,Human
51391473,Panquesito7,Human
26342317,00Kai0,Human
35768171,zeertzjq,Human
22779605,atomist[bot],Bot
7128721,TobiTenno,Human
8862693,webcompat-bot,Bot
21194285,klmahua,Human
41993974,review-notebook-app[bot],Bot
30045531,emp3826,Human
72028011,pcshah1026,Human
7223028,PierreMesure,Human
1779249,openshift-bot,Bot
4790,karmi,Human
71083854,nx-cloud[bot],Bot
1385770,kwoodson,Human
21261007,sungam3r,Human
22067021,banesullivan,Human
174662,stliu,Human
295709,AntoineAugusti,Human
11542693,mgraffg,Human
738765,alterphp,Human
40244233,yndajas,Human
12393718,luklus,Human
40143,ptarjan,Human
666683,swuecho,Human
85256266,Shineslippers,Human
71294927,xcash-rocks,Human
54860867,kristinonias,Human
65395387,stefan-hartmann-lgs,Human
866677,ernado,Human
10359577,michaelprimo,Human
45374034,0xb0y,Human
6761856,snicolet,Human
180551,koreno,Human
25694730,hamdyaea,Human
12143653,mdX7,Human
37855075,opbld32,Bot
13489381,wildlifehexagon,Human
72609355,AmarnathCJD,Human
26112239,akshayneema,Human
2604887,mm4tt,Human
4427160,tomjuggler,Human
56610014,google-ml-butler[bot],Bot
249779,danjac,Human
909222,luckily,Human
1539046,xioxu,Human
63261637,Aut0R3V,Human
7762949,horsicq,Human
74506764,reedbot[bot],Bot
22807629,adnjoo,Human
18018452,smartguest,Human
53905247,Jon-b-m,Human
46801700,tech234a,Human
89894075,gitstart-sourcegraph,Human
25559053,nkxingxh,Human
1183,gregwebs,Human
32149596,ycdxsb,Human
1134,bdarcus,Human
75508020,moogstuart,Human
34695204,botovance,Bot
56873669,janaSunrise,Human
22865991,muuusso,Human
468751,alvarolopez,Human
495429,caugner,Human
465629,toge,Human
4984825,wconstab,Human
8124021,bob-beck,Human
2046846,am1t,Human
4298407,yegappan,Human
417981,cpcloud,Human
55560129,jhonnyoddball,Human
10775043,freddydk,Human
7897760,danielsocials,Human
5365358,AlexanderSehr,Human
67733299,pabio-escobar,Bot
622699,harshavardhana,Human
285797,jr0dd,Human
108653,lucidrains,Human
6315466,zainfathoni,Human
12432488,MelvinBot,Bot
54665036,Pranav016,Human
2349470,ViBiOh,Human
1908873,mrtuvn,Human
9613701,charlieduong94,Human
955033,gdsotirov,Human
18333116,matticbot,Bot
2114189,wxiaoguang,Human
2174564,opless,Human
215030,DarrenN,Human
26566442,ant-design-bot,Bot
45343541,joshbwlng,Human
1676121,severo,Human
1304918,sabas,Human
46776329,moonkii,Human
58249729,Aaron-lv,Human
68746461,anshmishra010,Human
7645362,batemapf,Human
32812891,pvdabeel,Human
59910950,ss-o,Human
74645302,prathimacode-hub,Human
8975114,jonahwilliams,Human
62093618,CCKNBC,Human
18662871,raphaelmelo,Human
21175639,osorensen,Human
215702,gromgit,Human
54082712,pytorch-probot[bot],Bot
62978449,garvitraj,Human
2322354,ItsJonQ,Human
7167300,MikhailKasimov,Human
3968443,nikhilmenghani,Human
42625018,quinqu,Human
66550865,glethuillier,Human
36558508,mcwinter07,Human
47642099,jinook929,Human
4038041,guidoiaquinti,Human
3199183,vihu,Human
14831261,shaodahong,Human
2128464,ToniA,Human
22739822,PatrikLundell,Human
654902,phumpal,Human
6974902,gek169,Human
3380016,deltaguita,Human
32544373,xmhd,Human
129737,iphands,Human
13323303,suzuki-shunsuke,Human
7675847,JulianKnodt,Human
26118465,AydarZaynutdinov,Human
31324,cesarb,Human
42296182,what1s1ove,Human
6550035,schollz,Human
10861600,bvenkysubbu,Bot
8050853,domdfcoding,Human
22508290,kevinksullivan,Human
187848,jevinskie,Human
36027403,codereport,Human
28524381,nextcloud-android-bot,Bot
15524035,benjaminrsherman,Human
6806011,dotlambda,Human
62853952,levkoburburas,Human
63473496,Suvraneel,Human
63029101,paddle-bot-old[bot],Bot
1755362,SvenRoederer,Human
376455,omry,Human
7872329,benawad,Human
3468483,Brooooooklyn,Human
54312959,elmakhmu,Human
76584243,rohan-kulkarni-25,Human
1907413,pmetzger,Human
303487,mattclegg,Human
4563792,tgravescs,Human
52682268,fluttergithubbot,Bot
63816999,wingetbot,Bot
1542409,oseau,Human
78213164,CleanMachine1,Human
84067571,gmacauda,Human
6706544,slinkydeveloper,Human
1936895,diegomgomez,Human
2315673,timmot,Human
54591257,aenstan,Human
66651997,281677160,Human
8864000,kaltura-hooks,Bot
12817816,ZephyrTFA,Human
4971975,dasJ,Human
16985475,teggno,Human
44570539,pjeziorowski,Human
21358010,vtsykun,Human
1317792,xndcn,Human
845983,mwickett,Human
15823519,nventive-devops,Bot
73139402,cloudflare-pages[bot],Bot
20194490,Yugue,Human
23625821,Salah856,Human
11766139,tomashhurst,Human
352441,ym,Human
37937762,SOLPLPARTY,Human
1408600,Maijin,Human
29553947,ownclouders,Bot
45637986,iapicca,Human
78701779,eshan1925,Human
55827009,vgavrilo,Human
6594915,jfcherng,Human
1460122,kkga,Human
68362169,kawadasatoshi,Human
4687791,pickfire,Human
3914230,vsanthanam,Human
51150235,opstest2,Bot
831648,asummers,Human
59071,tchaikov,Human
9455094,Be-ing,Human
9286933,CapacitorSet,Human
17270325,graalvmbot,Bot
8751635,ggladilov,Human
51506086,nextcloud-stale[bot],Bot
472311,phodal,Human
13859395,csigs,Human
7804791,seanbreckenridge,Human
79815764,TheQuackyDuck,Human
18269707,jlbl,Human
49533950,nuoxoxo,Human
987136,rehandalal,Human
21292037,eyoungmin,Human
35702532,tprelog,Human
48600411,m2-assistant[bot],Bot
53217558,RaiyanMahin,Human
5799331,vcolin7,Human
3598852,svercl,Human
19857467,ProklUng,Human
36754821,codeclimate[bot],Bot
65553080,codecov-commenter,Bot
3002344,CatStark,Human
505046,mattk42,Human
76971465,Mario-Kart-Felix,Human
12678528,codecounselor,Human
13513812,sosuisen,Human
22216761,JoshMcguigan,Human
40526986,mornyx,Human
31410839,maheshmnj,Human
395641,jeremyzilar,Human
271966,salaboy,Human
20182680,LinuxServer-CI,Bot
82119979,michaelryanpeter,Human
434655,daniellee,Human
25405787,openssl-machine,Bot
48117473,muliswilliam,Human
22001478,ArgoZhang,Human
11571300,CLAassistant,Bot
17916609,paulidale,Human
16418547,AlenkaF,Human
6377684,Shane32,Human
845552,Thijn,Human
66076021,AlexWaygood,Human
21308003,wellyshen,Human
61630653,john0sweet,Human
234708,spences10,Human
121129,baijum,Human
54043106,mgronlun,Human
7855765,liupeng0518,Human
1122389,vito80ba,Human
63282184,ashish-reddy-20-08,Human
20305734,astrochun,Human
61279246,huntr-helper,Human
3599813,fhightower,Human
6766851,RyuaNerin,Human
351553,carlosbuenosvinos,Human
25178594,meafs,Human
10153298,leha-bot,Human
516118,pannous,Human
278988,godrm,Human
2159629,ideoma,Human
66250972,cheesycod,Human
81188,SoftCreatR,Human
3713580,hendisantika,Human
48654350,buddhhu,Human
93940821,spmonahan,Human
1957806,jonfairbanks,Human
59826753,kylo252,Human
24736507,pep8speaks,Human
5551758,alafanechere,Human
28789723,barhouum7,Human
77425744,rohanbabbar04,Human
75058881,c2xusnpq6,Human
42699471,bzhang0,Human
88904,colinhowe,Human
25494577,michi-covalent,Human
20694532,patrickvinograd,Human
26888375,qitas,Human
16906199,RCoeurjoly,Human
37012961,c4rl0sbr4v0,Human
69001827,grover-trilinos,Bot
24516654,btea,Human
20234,brettz9,Human
120810,lw,Human
12854129,roya0045,Human
61319150,Explosion-Scratch,Human
17502689,cjones051073,Human
413772,graingert,Human
55404786,avin1100,Human
2594236,ahouseholder,Human
7195563,Shinigami92,Human
68724349,abhisheks008,Human
12075600,Maftalion,Human
70960898,doosemavis,Human
335541,ktmud,Human
20752424,jasperan,Human
3849072,hellokaton,Human
4021595,stebo85,Human
38477514,Iapetus-11,Human
6112010,sujato,Human
22045163,Seogeurim,Human
39034242,kenzok8,Human
3538226,noloader,Human
16936,annismckenzie,Human
15659410,leblancfg,Human
4312414,vinifmor,Human
64969005,andyherrick,Human
1799054,rtsisyk,Human
14037268,amorist,Human
920512,peterolson,Human
46193371,hellodword,Human
10329648,8ear,Human
32783916,sambacha,Human
48603081,TahaTesser,Human
21693654,maltejahn,Human
43588962,bernhardkaindl,Human
50598611,ms-jpq,Human
7945706,Amin-Cheribet,Human
13176361,dragosmg,Human
9994529,bigopon,Human
51362316,tmiasko,Human
24732563,kaanaktas,Human
3030003,ryanvazquez,Human
33806646,YaFou,Human
30500175,gayanvoice,Human
10523218,kazanzhy,Human
