,contributor,type,confidence,events,NA,NT,NOR,ORR,DCA_mean,DCA_median,DCA_std,DCA_gini,NAR_mean,NAR_median,NAR_gini,NAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NCAR_mean,NCAR_std,NCAR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR
30,hehuiyuan,Unknown,-,2,2,2,1,0.5,472.192,472.192,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,472.192,472.192,0.0,0.0,0.0,472.192,472.192,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
31,danieldiamond,Human,0.812,10,10,2,7,1.0,61.411,8.636,85.597,0.655,1.429,1.0,0.229,0.5,1.0,1.0,0.0,0.0,1.429,0.787,0.5,1.395,0.0,3.69,0.001,90.49,86.869,93.114,0.502,158.915,183.917,183.917,22.577,0.043,15.964,5.0,5.0,2.828,0.2,2.0
32,igorkorsukov,Human,0.943,100,75,10,3,0.5,3.665,0.113,22.189,0.934,12.5,11.5,0.38,10.25,3.0,2.5,1.789,0.296,1.744,1.787,1.0,1.076,0.0,3.849,0.27,5.356,0.06,29.285,0.946,0.864,4.952,0.148,26.175,0.933,0.88,7.5,7.5,5.603,0.385,5.5
33,ka-bu,Unknown,-,2,1,1,1,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,1.0,1.0,0.0,0.0,0.0
34,zkamvar,Human,0.901,100,93,11,4,0.444,0.519,0.051,2.037,0.874,10.333,3.0,0.573,9.0,2.444,2.0,1.424,0.303,4.043,6.079,2.0,0.481,0.006,1.753,0.158,1.667,0.277,3.904,0.806,0.555,1.231,0.095,3.403,0.849,0.43,8.455,2.0,13.873,0.676,5.0
35,kristapratico,Human,0.939,100,82,9,4,0.8,4.477,0.109,15.364,0.899,16.4,14.0,0.454,27.0,2.8,2.0,1.924,0.314,3.28,3.41,3.0,9.216,0.051,26.254,1.352,5.51,0.581,10.976,0.777,3.793,10.866,0.958,23.868,0.812,4.155,9.111,2.0,15.504,0.664,7.0
36,llvm-beanz,Human,0.936,100,63,9,3,0.429,3.6,0.087,12.027,0.902,9.0,2.0,0.707,3.0,2.143,1.0,1.676,0.362,3.15,5.244,0.25,0.888,0.0,2.57,0.005,10.814,0.598,20.207,0.776,8.958,8.357,0.356,18.068,0.818,2.918,7.0,2.0,14.344,0.695,2.0
37,purelind,Human,0.797,100,100,8,6,0.4,0.794,0.078,2.646,0.854,6.667,2.0,0.585,7.5,2.067,2.0,1.033,0.262,1.316,0.657,0.0,0.499,0.0,2.675,0.0,0.543,0.108,1.546,0.779,0.517,0.713,0.034,2.432,0.859,0.45,12.5,7.0,13.491,0.525,16.75
38,crutkas,Human,0.902,100,87,11,2,0.667,3.46,0.082,7.69,0.834,29.0,2.0,0.636,41.5,4.333,1.0,5.774,0.513,12.429,12.408,17.0,37.287,1.648,71.224,32.166,6.098,1.73,8.003,0.607,11.73,4.158,0.386,8.153,0.793,3.171,7.909,3.0,14.181,0.625,4.5
39,PeterJCLaw,Human,0.87,100,85,12,2,0.2,3.508,0.036,9.303,0.87,8.5,5.5,0.484,12.0,3.3,3.0,1.889,0.3,2.833,2.291,3.0,1.744,0.038,5.698,0.12,8.356,0.405,13.581,0.715,21.312,3.73,0.037,9.803,0.866,0.293,7.083,6.0,5.23,0.385,7.25
40,Azcobu,Unknown,-,1,1,1,1,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,1.0,1.0,0.0,0.0,0.0
41,Arigotoma,Unknown,-,1,1,1,1,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,1.0,1.0,0.0,0.0,0.0
42,engcom-Hotel,Human,0.939,100,87,8,4,0.8,4.82,0.752,14.186,0.837,17.4,1.0,0.717,8.0,2.4,1.0,2.608,0.433,6.214,6.963,6.5,27.553,2.583,46.738,25.314,2.211,0.729,4.516,0.733,2.011,5.445,0.894,15.085,0.815,1.813,10.875,8.5,8.543,0.398,11.5
43,gat786,Human,0.92,100,99,8,17,0.708,13.582,1.034,27.749,0.793,4.125,1.0,0.631,3.0,1.458,1.0,0.779,0.237,2.75,2.931,2.25,4.72,0.0,9.814,7.046,33.175,21.54,38.57,0.578,47.844,22.094,6.767,30.433,0.655,33.453,12.375,4.0,23.336,0.701,5.75
44,dpetrisko,Human,0.934,100,88,9,10,0.625,4.778,0.204,10.435,0.817,5.5,2.5,0.561,5.5,2.188,1.0,1.834,0.391,1.956,2.142,1.0,3.771,0.0,13.695,0.012,5.591,0.385,12.115,0.815,2.956,5.983,0.173,12.733,0.819,3.168,9.778,5.0,15.571,0.553,3.0
45,Widcket,Human,0.466,101,91,3,70,0.921,24.356,0.322,51.806,0.81,1.197,1.0,0.162,0.0,1.013,1.0,0.115,0.013,1.11,0.703,0.0,0.201,0.0,1.569,0.0,26.859,0.528,54.039,0.793,27.549,47.834,15.313,69.229,0.654,61.15,30.333,10.0,37.846,0.491,33.5
46,kettil,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,llllllllll,Unknown,-,1,1,1,1,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,1.0,1.0,0.0,0.0,0.0
48,opbld34,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,tatarize,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,insightindustry,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,ztalbot2000,Human,0.85,92,88,7,2,0.667,24.266,0.304,80.183,0.89,29.333,7.0,0.598,39.5,3.0,2.0,2.646,0.37,11.0,15.501,12.75,115.95,22.603,152.619,240.069,169.075,38.371,222.956,0.624,261.884,33.231,0.097,105.957,0.902,5.058,12.571,4.0,14.409,0.549,16.0
52,jancajthaml,Human,0.697,256,222,9,1,0.5,6.989,0.038,32.319,0.944,111.0,111.0,0.455,101.0,6.5,6.5,3.536,0.192,24.667,32.863,41.0,170.418,0.016,300.834,144.472,1.35,0.299,2.059,0.673,1.678,5.397,0.029,31.118,0.958,0.184,24.667,34.0,24.474,0.485,32.0
53,cosmicexplorer,Human,0.92,100,99,9,4,0.5,10.778,0.26,53.411,0.926,12.375,8.5,0.527,9.5,1.875,1.5,0.991,0.258,3.96,4.877,4.0,9.689,0.061,27.52,1.431,33.915,0.185,104.724,0.896,2.35,23.366,0.138,95.327,0.94,0.549,11.0,1.0,25.617,0.768,4.0
54,rekovic,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,v-npaladugu,Human,0.776,100,92,7,2,1.0,6.436,0.636,14.46,0.807,46.0,46.0,0.489,45.0,4.0,4.0,4.243,0.375,30.667,39.119,37.0,186.989,32.792,295.93,264.087,12.367,12.367,13.128,0.375,9.283,5.581,0.838,10.258,0.751,3.793,13.143,6.0,23.892,0.665,5.0
56,imachug,Invalid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,mxiamxia,Human,0.801,200,176,8,6,0.462,1.326,0.101,4.428,0.855,13.538,8.0,0.563,10.0,2.385,2.0,1.387,0.298,1.419,0.847,1.0,0.911,0.0,4.779,0.008,0.968,0.097,2.598,0.828,0.581,1.14,0.061,3.113,0.859,0.444,22.0,12.5,28.631,0.57,15.5
58,henriquegemignani,Human,0.936,200,165,10,6,0.429,4.855,0.044,17.282,0.911,11.786,4.0,0.657,6.75,3.214,3.0,2.359,0.383,4.342,5.449,3.5,6.811,0.02,24.998,0.761,14.526,1.947,23.962,0.729,22.208,6.414,0.062,19.948,0.89,1.276,16.5,13.5,15.328,0.471,19.5
59,sandreim,Human,0.949,100,80,9,3,0.75,5.202,0.209,21.031,0.899,20.0,2.5,0.688,19.0,3.75,2.5,3.594,0.417,6.667,8.004,9.25,16.502,0.0,41.913,2.796,19.36,0.979,50.829,0.844,9.052,4.087,0.236,11.422,0.843,1.735,8.889,5.0,8.978,0.481,9.0
60,ilya-g,Human,0.844,100,87,10,2,0.2,17.113,2.305,33.144,0.777,8.7,1.0,0.725,1.75,1.7,1.0,1.337,0.324,3.48,3.584,4.0,36.34,0.036,82.882,2.509,23.468,11.612,30.894,0.626,22.892,19.985,2.978,35.228,0.75,20.086,8.7,3.5,10.615,0.587,12.5
61,effigies,Human,0.903,100,84,13,8,0.615,0.3,0.05,1.3,0.831,6.462,4.0,0.513,4.0,3.154,2.0,2.882,0.432,1.826,1.525,1.0,0.082,0.0,0.226,0.061,0.469,0.088,1.746,0.823,0.195,0.33,0.05,1.449,0.844,0.189,6.462,5.0,6.666,0.458,5.0
62,pconrad,Human,0.89,200,195,9,3,0.25,1.371,0.07,7.252,0.922,16.25,4.0,0.705,8.75,2.167,2.0,1.337,0.314,4.643,7.166,3.0,1.622,0.059,5.408,0.394,4.827,0.159,14.784,0.872,0.721,4.384,0.041,14.902,0.905,0.377,21.667,4.0,54.578,0.801,6.0
63,ibabou,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,ubergesundheit,Human,0.95,100,86,11,7,0.35,9.996,0.147,29.671,0.883,4.3,3.5,0.426,4.25,2.5,3.0,1.701,0.338,2.263,2.114,2.0,5.007,0.0,18.925,0.108,17.821,1.177,39.684,0.802,17.436,12.393,0.122,33.257,0.868,2.225,7.818,5.0,7.291,0.476,8.0
65,BalammaBoya,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,albertnetymk,Human,0.353,250,220,7,2,1.0,9.718,0.4,45.597,0.877,110.0,110.0,0.059,13.0,3.5,3.5,0.707,0.071,2.558,2.084,2.0,7.065,0.16,13.861,5.06,17.891,0.273,71.658,0.903,6.108,11.983,0.412,54.774,0.889,3.947,31.429,24.0,22.912,0.338,16.5
67,miina,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,BotMichael,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,brucecat,Unknown,-,1,1,1,1,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,1.0,1.0,0.0,0.0,0.0
70,ligurio,Human,0.825,100,80,10,6,0.545,0.632,0.221,1.487,0.754,7.273,2.0,0.614,6.0,2.0,2.0,1.265,0.306,2.162,2.048,1.0,0.661,0.0,2.647,0.221,0.707,0.214,1.401,0.699,0.86,0.476,0.157,0.647,0.656,0.808,8.0,2.5,11.185,0.578,3.5
71,htejun,Human,0.84,100,90,14,1,0.5,4.291,0.123,12.538,0.864,45.0,45.0,0.444,40.0,8.5,8.5,6.364,0.265,30.0,22.605,22.0,126.834,142.542,119.667,118.892,0.691,0.691,0.933,0.477,0.66,5.529,0.126,14.816,0.851,1.105,6.429,3.5,6.382,0.476,7.25
72,lostmygithubaccount,Human,0.943,100,92,12,4,0.444,4.445,0.031,10.438,0.831,10.222,7.0,0.498,13.0,3.222,2.0,2.386,0.368,2.706,2.576,3.0,6.39,0.003,19.307,0.112,5.672,0.42,11.338,0.791,4.733,4.557,0.051,9.79,0.815,3.814,7.667,4.5,8.489,0.52,6.25
73,clangenb,Human,0.916,100,86,9,3,0.75,1.193,0.052,3.835,0.87,21.5,21.0,0.419,24.0,4.75,5.0,2.872,0.276,9.556,10.212,6.0,5.616,0.597,13.202,2.487,6.356,1.723,9.532,0.655,5.356,1.269,0.046,3.554,0.86,0.435,9.556,5.0,12.063,0.512,5.0
74,Lucas-307,Unknown,-,1,1,1,1,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,1.0,1.0,0.0,0.0,0.0
75,dakshsethi,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76,lewing,Human,0.912,100,84,9,4,0.444,0.874,0.076,2.626,0.851,9.333,2.0,0.672,5.0,3.0,2.0,2.646,0.412,3.652,3.651,3.0,2.041,0.012,4.815,0.832,1.166,0.26,2.999,0.773,0.56,0.81,0.097,2.549,0.842,0.504,9.333,8.0,9.407,0.511,12.0
77,craigshoemaker,Bot,0.289,162,162,3,2,1.0,13.133,0.004,81.528,0.97,81.0,81.0,0.494,80.0,2.0,2.0,1.414,0.25,54.0,90.934,79.0,632.638,930.719,548.184,483.597,108.272,108.272,83.06,0.271,58.732,71.046,6.508,101.864,0.684,91.505,54.0,9.0,81.431,0.588,71.5
78,srittau,Human,0.951,100,83,11,5,0.714,2.38,0.033,14.038,0.961,11.857,3.0,0.62,16.5,3.143,3.0,2.61,0.403,1.976,1.88,1.0,1.236,0.0,7.367,0.029,3.493,0.046,18.483,0.954,0.224,1.841,0.025,14.038,0.966,0.111,7.545,7.0,5.429,0.361,4.5
79,yunjiang29,Bot,0.709,262,232,5,2,0.5,9.27,0.215,29.88,0.88,58.0,41.5,0.541,86.5,2.0,2.0,0.816,0.188,2.367,1.646,2.0,10.751,0.031,34.782,2.04,11.213,0.403,31.592,0.853,3.981,8.047,0.235,27.003,0.882,1.342,46.4,30.0,41.884,0.422,47.0
80,Profpatsch,Human,0.942,71,67,10,18,0.692,31.248,0.438,76.117,0.851,2.577,1.0,0.468,1.0,1.423,1.0,0.758,0.226,1.523,1.151,1.0,0.97,0.0,4.054,0.027,46.969,4.262,90.692,0.787,36.674,41.474,1.083,90.306,0.825,22.196,6.7,5.5,7.804,0.467,4.5
81,huangdi95,Unknown,-,4,4,3,2,1.0,6.483,2.641,9.037,0.576,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.321,1.321,1.866,1.32,16.806,16.806,0.0,0.0,0.0,6.483,2.641,9.037,0.576,8.402,1.333,1.0,0.577,0.167,0.5
82,Batta32,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
83,hankei6km,Bot,0.245,298,293,7,1,0.033,1.813,0.026,10.806,0.954,9.767,5.0,0.521,10.25,1.467,1.0,1.252,0.282,3.573,4.128,4.0,0.508,0.007,1.736,0.279,6.02,0.03,19.941,0.904,0.917,8.767,0.065,22.478,0.86,1.63,41.857,5.0,96.651,0.765,2.5
84,mgreisen,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
85,jack60612,Human,0.956,30,28,8,4,0.8,71.149,0.105,207.023,0.892,5.6,2.0,0.486,10.0,3.0,2.0,2.55,0.4,4.0,3.367,4.0,15.113,0.278,35.481,5.082,302.54,218.527,373.025,0.583,368.542,86.898,0.091,227.284,0.87,13.24,3.5,3.0,2.928,0.384,1.75
86,iaomw,Human,0.918,70,58,8,3,1.0,27.003,0.052,60.637,0.841,19.333,27.0,0.333,14.5,2.667,3.0,1.528,0.25,2.231,1.451,1.75,27.283,0.008,72.745,0.482,33.193,0.126,55.411,0.753,45.486,31.73,0.052,65.798,0.822,22.779,7.25,10.0,4.773,0.323,7.5
87,madsager,Unknown,-,7,7,1,6,0.857,6.618,0.015,15.847,0.826,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.618,0.015,15.847,0.826,0.528,,,0.0,0.0,,7.0,7.0,0.0,0.0,0.0
88,jonchang,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
89,kriskowal,Human,0.948,100,84,13,4,0.667,2.677,0.067,8.171,0.89,14.0,8.5,0.532,10.75,4.667,4.0,2.875,0.286,4.421,4.562,3.5,3.112,0.151,7.285,1.768,9.058,0.507,14.732,0.733,15.059,2.968,0.138,8.837,0.877,0.423,6.462,5.0,6.105,0.476,6.0
90,lkladnit,Unknown,-,8,6,3,1,0.333,414.057,0.069,766.359,0.741,2.0,1.0,0.333,1.5,1.333,1.0,0.577,0.167,2.0,1.732,1.5,0.037,0.0,0.065,0.056,1035.086,1035.086,1031.328,0.352,729.259,152.948,152.948,216.203,0.5,152.879,2.0,2.0,0.0,0.0,0.0
91,AliasIO,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
92,k-ye,Unknown,-,9,9,3,8,1.0,222.687,155.828,181.709,0.416,1.125,1.0,0.097,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,222.687,155.828,181.709,0.416,258.183,312.06,301.89,173.754,0.274,295.452,3.0,2.0,2.646,0.37,2.5
