,contributor,type,confidence,events,NA,NT,NOR,ORR,DCA_mean,DCA_median,DCA_std,DCA_gini,NAR_mean,NAR_median,NAR_gini,NAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NCAR_mean,NCAR_std,NCAR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR
31,jskeet,Human,0.762,100,80,9,9,0.643,0.78,0.005,2.116,0.878,5.714,2.5,0.621,4.5,2.357,2.0,1.906,0.366,2.667,3.294,2.0,0.578,0.001,2.108,0.013,1.527,0.103,2.769,0.755,1.105,0.646,0.003,1.828,0.881,0.102,8.889,9.0,4.729,0.267,4.0
32,stefonarch,Human,0.912,100,86,12,9,0.474,2.407,0.523,3.684,0.711,4.526,2.0,0.547,4.5,2.474,1.0,2.195,0.419,1.654,1.101,1.0,1.059,0.0,4.251,0.023,2.932,0.819,4.03,0.667,4.082,2.062,0.319,3.533,0.743,2.091,7.167,5.0,6.422,0.432,6.5
33,evgeniy-paltsev,Human,0.937,61,54,10,5,0.625,38.946,4.897,58.222,0.709,6.75,2.5,0.62,2.75,2.375,2.0,1.923,0.309,2.348,3.024,1.0,26.801,0.0,72.034,0.149,65.804,34.192,76.205,0.605,115.071,41.517,7.459,59.767,0.691,73.022,5.4,5.0,3.34,0.322,4.0
34,lhecker,Human,0.874,100,74,9,2,0.667,2.418,0.217,10.156,0.872,24.667,2.0,0.631,35.0,3.667,1.0,4.619,0.485,14.8,12.95,18.0,34.364,26.652,41.321,44.811,1.182,1.255,0.786,0.316,1.093,1.781,0.28,3.279,0.755,1.641,8.222,6.0,6.2,0.39,11.0
35,JoshuaKGoldberg,Human,0.836,100,83,12,3,0.5,0.089,0.011,0.455,0.876,13.833,5.0,0.528,20.75,5.0,4.5,3.742,0.378,3.952,5.491,3.0,0.049,0.001,0.094,0.064,0.313,0.032,0.9,0.855,0.067,0.135,0.013,0.579,0.886,0.039,6.917,3.0,6.667,0.479,8.0
36,kuisathaverat,Human,0.89,100,76,9,3,0.429,5.18,0.006,20.01,0.938,10.857,13.0,0.35,12.5,4.143,5.0,1.864,0.227,2.621,1.72,3.0,6.29,0.002,26.015,0.009,7.36,0.034,19.276,0.868,0.317,5.972,0.005,21.405,0.929,0.026,8.444,7.0,9.043,0.518,6.0
37,Luegg,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,kivistikliis,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,tuteng,Human,0.936,28,27,8,3,0.25,76.569,20.411,107.427,0.681,2.25,2.0,0.312,2.0,1.5,1.0,0.905,0.25,1.5,0.786,1.0,3.583,0.0,9.498,0.006,113.312,73.881,117.502,0.549,177.509,79.036,20.411,110.622,0.676,116.771,3.375,2.0,4.749,0.514,1.25
40,bogdan0083,Unknown,-,4,4,1,4,1.0,527.626,475.633,454.866,0.381,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,527.626,475.633,454.866,0.381,452.632,,,0.0,0.0,,4.0,4.0,0.0,0.0,0.0
41,elsh,Human,0.094,142,120,7,1,1.0,18.394,0.054,69.944,0.92,120.0,120.0,0.0,0.0,7.0,7.0,0.0,0.0,120.0,0.0,0.0,2188.874,2188.874,0.0,0.0,,,0.0,0.0,,20.487,0.055,74.591,0.919,3.59,17.143,12.0,10.574,0.271,8.5
42,darkLord19,Human,0.956,48,46,10,3,1.0,41.143,0.069,102.413,0.828,15.333,11.0,0.478,16.5,3.333,3.0,2.517,0.333,2.19,2.676,1.0,40.96,0.0,135.076,5.213,49.563,13.888,74.576,0.7,71.04,54.552,0.158,120.265,0.796,50.21,4.6,2.5,5.758,0.522,3.5
43,salilsdesai,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,x6-bot[bot],Bot,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,13567436138,Human,0.817,100,100,8,30,0.769,5.78,0.36,13.202,0.781,2.564,1.0,0.559,0.5,1.308,1.0,0.655,0.195,2.128,4.276,0.0,1.987,0.0,11.006,0.0,10.41,3.324,17.511,0.669,12.859,5.411,2.202,7.376,0.642,7.927,12.5,10.0,9.769,0.41,15.25
46,jsturtevant,Human,0.909,100,73,11,10,0.667,2.659,0.288,7.14,0.839,4.867,2.0,0.532,5.0,1.733,2.0,1.033,0.251,1.738,1.211,1.0,0.567,0.0,1.958,0.112,4.088,0.61,9.05,0.789,1.706,3.762,0.474,8.727,0.805,1.686,6.636,3.0,7.5,0.521,6.5
47,rustbot,Bot,0.886,57,57,2,1,0.2,0.6,0.379,0.665,0.561,11.4,2.0,0.667,3.0,1.2,1.0,0.447,0.133,3.562,5.354,2.0,1.514,0.027,3.259,0.87,0.625,0.591,0.588,0.497,0.76,0.23,0.143,0.246,0.457,0.163,28.5,28.5,37.477,0.465,26.5
48,ilgooz,Human,0.932,58,51,10,3,0.375,28.747,0.028,86.463,0.892,6.375,3.0,0.488,4.5,2.75,2.0,1.982,0.341,4.25,5.294,2.5,51.049,0.014,129.941,7.249,74.98,1.063,149.036,0.769,77.944,35.101,0.04,97.664,0.874,18.061,5.1,5.0,2.846,0.296,2.75
49,voidspooks,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,mlychkov,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,marionebl,Unknown,-,5,5,4,2,1.0,6.268,0.155,12.322,0.741,2.5,2.5,0.1,0.5,2.0,2.0,0.0,0.0,1.25,0.5,0.25,0.003,0.0,0.006,0.003,8.353,0.206,14.2,0.656,12.323,8.353,0.206,14.2,0.656,12.323,1.25,1.0,0.5,0.15,0.25
52,astrojuanlu,Human,0.916,100,80,14,15,0.625,3.006,0.362,8.074,0.792,3.333,1.0,0.542,2.5,1.958,1.0,1.429,0.345,1.702,1.382,1.0,0.34,0.0,1.143,0.009,4.814,1.415,10.193,0.703,4.939,3.5,0.493,9.135,0.791,3.7,5.714,6.0,4.14,0.389,5.75
53,hwangdeyu,Unknown,-,1,1,1,1,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,1.0,1.0,0.0,0.0,0.0
54,obenacot,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,M0RGaming,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,haesleinhuepf,Human,0.841,100,87,13,7,0.412,0.22,0.036,0.821,0.837,5.118,1.0,0.591,6.0,2.824,1.0,2.856,0.468,2.351,2.552,2.0,0.096,0.0,0.229,0.048,0.426,0.064,1.233,0.816,0.17,0.236,0.03,0.903,0.856,0.081,6.692,5.0,5.865,0.454,8.0
57,alexwizp,Human,0.908,100,80,10,2,0.5,3.926,0.164,9.766,0.83,20.0,17.0,0.462,31.0,3.75,2.5,2.872,0.317,2.105,1.942,1.0,3.582,0.0,11.772,0.236,4.703,1.489,8.605,0.751,3.314,4.42,0.32,8.66,0.784,3.203,8.0,5.0,8.327,0.475,7.25
58,stmcginnis,Human,0.947,100,82,13,8,0.471,10.808,0.289,25.933,0.8,4.824,2.0,0.525,4.0,2.353,2.0,1.869,0.368,1.608,1.201,1.0,2.547,0.0,9.032,0.013,14.91,2.803,31.857,0.771,14.565,11.175,0.224,28.425,0.81,10.049,6.308,3.0,8.712,0.557,4.0
59,stas00,Human,0.943,100,95,10,15,0.714,7.28,0.457,22.375,0.832,4.524,1.0,0.598,3.0,1.81,1.0,1.365,0.338,1.696,1.292,1.0,3.053,0.0,10.786,0.292,9.335,0.825,27.849,0.819,7.973,5.764,0.72,10.316,0.765,5.613,9.5,5.5,9.755,0.494,7.75
60,Quramy,Human,0.856,200,165,9,8,0.364,2.291,0.066,5.491,0.843,7.5,3.0,0.606,8.0,2.364,2.0,1.706,0.33,3.0,4.051,2.0,1.346,0.001,3.705,0.147,5.587,1.752,8.148,0.679,6.666,2.218,0.025,5.743,0.865,0.898,18.333,15.0,17.457,0.494,33.0
61,TNorthover,Unknown,-,2,2,2,2,1.0,1292.92,1292.92,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1292.92,1292.92,0.0,0.0,0.0,1292.92,1292.92,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
62,allcontributors[bot],Bot,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,jason-fox,Human,0.791,200,196,10,14,0.194,4.538,0.001,23.685,0.956,2.722,2.0,0.382,3.0,1.153,1.0,0.399,0.116,1.101,0.851,0.0,0.999,0.0,12.384,0.0,3.995,0.001,23.075,0.964,0.011,34.104,9.79,65.192,0.745,23.67,19.6,3.0,47.179,0.788,9.75
64,RudyOnRails,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,io7m,Bot,0.088,296,173,7,3,0.03,0.463,0.001,1.724,0.91,1.747,1.0,0.371,1.0,1.111,1.0,0.471,0.095,1.185,0.77,0.0,0.013,0.0,0.149,0.0,0.536,0.001,1.869,0.904,0.136,0.933,0.168,2.063,0.784,0.609,24.714,7.0,44.728,0.7,14.5
66,Chocobo1,Human,0.945,100,78,10,3,0.6,1.373,0.04,4.606,0.907,15.6,3.0,0.641,13.0,3.2,3.0,2.28,0.325,2.438,3.182,1.0,2.226,0.0,9.363,0.005,1.114,0.031,2.841,0.866,0.171,1.225,0.04,4.036,0.901,0.175,7.8,6.5,5.514,0.377,9.25
67,time-and-fate,Human,0.889,100,76,8,2,0.4,7.974,0.349,25.788,0.881,15.2,1.0,0.732,3.0,2.0,1.0,1.732,0.36,9.5,20.086,3.5,33.393,5.162,62.554,33.602,47.269,15.146,69.756,0.668,60.455,13.83,1.482,23.786,0.733,16.463,9.5,2.0,19.383,0.724,3.5
68,justinyoo,Human,0.939,100,82,10,3,1.0,1.188,0.028,4.04,0.902,27.333,24.0,0.455,28.0,5.667,6.0,4.509,0.353,10.25,14.32,8.75,11.169,3.594,22.191,6.911,0.988,1.122,0.818,0.419,0.95,1.594,0.028,4.819,0.889,0.153,8.2,5.5,7.927,0.485,9.0
69,alex-vazquez,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,thefloweringash,Unknown,-,8,8,5,4,0.667,137.33,0.289,263.101,0.766,1.333,1.0,0.167,0.75,1.333,1.0,0.516,0.167,1.333,0.516,0.75,0.009,0.0,0.016,0.012,192.251,56.584,301.059,0.673,191.895,153.768,0.039,313.126,0.77,56.567,1.6,1.0,0.894,0.25,1.0
71,kazuki43zoo,Human,0.36,10,10,4,1,0.5,107.685,9.317,212.684,0.786,5.0,5.0,0.3,3.0,3.0,3.0,1.414,0.167,5.0,4.243,3.0,184.686,184.686,261.152,184.663,599.791,599.791,0.0,0.0,0.0,186.897,9.317,269.733,0.653,325.306,2.5,2.0,1.0,0.15,0.5
72,raubitsj,Human,0.843,100,95,8,1,0.25,11.484,0.134,43.228,0.903,23.75,25.0,0.387,32.25,4.5,4.5,2.082,0.222,13.571,18.972,23.5,113.97,0.0,175.111,208.142,46.944,52.222,39.675,0.43,54.624,26.831,0.417,81.003,0.885,3.15,11.875,2.5,25.942,0.72,2.25
73,KarlLevik,Human,0.951,74,57,14,3,0.5,31.777,0.441,73.0,0.837,9.5,4.5,0.535,15.75,4.333,2.5,4.179,0.462,3.8,3.649,5.0,14.375,0.002,37.021,3.807,111.704,95.244,111.59,0.505,103.961,36.227,0.337,77.968,0.821,42.528,4.071,3.5,2.973,0.38,3.5
74,minijackson,Human,0.95,100,83,12,7,0.538,3.919,0.046,10.307,0.867,6.385,2.0,0.627,4.0,2.231,1.0,1.589,0.355,2.964,3.616,1.25,4.199,0.0,10.121,0.456,7.546,0.506,14.464,0.765,9.863,3.995,0.053,10.748,0.872,0.918,6.917,6.5,4.522,0.354,5.75
75,agarciamontoro,Human,0.88,282,231,11,2,0.4,2.306,0.099,9.449,0.903,46.2,7.0,0.686,24.0,5.2,5.0,3.493,0.338,5.775,9.349,4.5,5.859,0.115,12.384,4.872,7.589,0.599,20.804,0.858,2.001,3.13,0.084,11.235,0.893,0.745,21.0,18.0,21.872,0.482,14.5
76,coreymasanto,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77,eerhardt,Human,0.912,100,75,11,4,0.5,0.645,0.088,2.01,0.838,9.375,2.0,0.702,5.0,2.75,1.0,3.495,0.5,2.027,3.059,1.0,0.242,0.0,0.628,0.039,1.077,0.181,2.781,0.806,0.51,0.768,0.112,2.235,0.835,0.36,6.818,5.0,6.824,0.458,3.0
78,ThibodeauJF,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,andxu,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80,AndreyMlashkin,Invalid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
81,yelizariev,Human,0.943,26,24,6,3,0.6,77.677,0.328,184.898,0.846,4.8,2.0,0.45,9.0,1.8,1.0,1.304,0.311,4.0,3.521,4.25,24.349,0.9,57.904,1.331,328.093,215.869,292.014,0.43,488.721,186.457,0.205,290.278,0.706,305.239,4.0,1.0,6.87,0.611,0.75
82,jhouse-solvd,Unknown,-,3,2,2,1,1.0,668.266,668.266,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,668.266,668.266,0.0,0.0,,,0.0,0.0,,668.266,668.266,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
83,faxu,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
84,dr-dimitru,Human,0.816,51,48,6,11,0.611,25.404,1.584,56.436,0.802,2.667,1.0,0.514,1.0,1.278,1.0,0.575,0.176,1.6,1.354,0.0,6.964,0.0,23.093,0.0,33.967,5.835,68.49,0.779,24.273,33.634,6.072,73.121,0.789,20.768,8.0,6.5,6.633,0.417,7.5
85,KathrinBailey,Human,0.941,33,29,7,5,0.833,53.923,0.191,148.245,0.868,4.833,1.0,0.592,4.5,1.667,1.0,1.033,0.267,1.706,1.404,1.0,7.867,0.0,21.295,0.215,86.008,0.088,191.868,0.831,28.256,63.376,0.121,166.582,0.872,10.607,4.143,3.0,4.451,0.433,1.5
86,ryanmoran,Human,0.588,40,29,6,1,0.25,37.707,0.023,138.202,0.928,7.25,5.0,0.491,8.75,2.5,1.5,2.38,0.4,3.625,2.825,4.5,71.211,0.034,201.24,0.178,69.443,0.043,181.588,0.853,2.369,40.478,0.012,143.233,0.923,0.042,4.833,3.5,3.43,0.339,6.0
87,termoshtt,Human,0.953,100,89,12,3,1.0,3.495,0.158,13.701,0.891,29.667,5.0,0.614,41.0,4.333,1.0,5.774,0.513,14.833,14.414,25.75,19.007,15.024,21.274,32.235,38.696,24.367,46.942,0.57,48.329,3.736,0.112,16.534,0.918,0.578,7.417,3.0,14.248,0.645,3.25
88,vishalnayak,Unknown,-,1,1,1,1,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,1.0,1.0,0.0,0.0,0.0
89,simaki,Invalid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90,ddbeck,Human,0.921,100,82,13,4,0.667,0.342,0.031,1.458,0.879,13.667,2.0,0.728,5.75,3.167,2.0,3.488,0.465,3.565,4.043,5.5,0.978,0.0,2.729,0.233,0.237,0.048,0.493,0.737,0.192,0.43,0.039,1.672,0.877,0.159,6.308,3.0,6.909,0.542,7.0
91,create-issue-branch[bot],Bot,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
92,Xreki,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
93,iignatev,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
